NAME,TEAM,AGE,MPG,PPG,RPG,APG,SPG,BPG,TOPG
Buddy Hield,Sac,28.41,34.3,16.6,4.7,3.6,0.89,0.42,1.83
Kevin Porter Jr.,Hou,21.03,32.1,16.6,3.8,6.3,0.73,0.31,3.5
Bogdan Bogdanovic,Atl,28.74,29.7,16.4,3.6,3.3,1.11,0.3,1.23
Chris Paul,Pho,36.03,31.4,16.4,4.4,8.9,1.43,0.26,2.23
Khyri Thomas,Hou,25.02,30.6,16.4,3.6,5,1.8,1.2,1.2
Mike Conley,Uta,33.6,29.4,16.2,3.5,6,1.37,0.18,1.94
Gary Trent Jr.,Tor,22.33,31.8,16.2,3.6,1.3,1.12,0.24,0.71
Harrison Barnes,Sac,28.96,36.3,16.1,6.6,3.5,0.74,0.19,1.6
Elijah Bryant,Mil,20,31.6,16,6,3,0,1,4
OG Anunoby,Tor,23.83,33.3,15.9,5.5,2.2,1.53,0.72,1.74
LaMelo Ball,Cha,19.74,28.8,15.7,5.9,6.1,1.59,0.35,2.84
Dejounte Murray,San,24.66,31.9,15.7,7.1,5.4,1.51,0.1,1.75
Terrence Ross,Orl,30.28,29.3,15.6,3.4,2.4,1.02,0.46,1.59
T.J. Warren,Ind,27.7,29.4,15.5,3.5,1.3,0.5,0,1
Kelly Oubre Jr.,Gol,25.44,30.7,15.4,6,1.3,1.04,0.76,1.27
Dennis Schroder,Lal,27.67,32.1,15.4,3.5,5.8,1.16,0.21,2.67
Derrick White,San,26.87,29.5,15.4,3,3.5,0.72,1,1.25
Clint Capela,Atl,27,30.1,15.2,14.3,0.8,0.7,2.05,1.16
Tyler Herro,Mia,21.32,30.3,15.1,4.9,3.4,0.65,0.31,1.87
Coby White,Chi,21.25,31.2,15.1,4.1,4.8,0.55,0.22,2.26
De'Andre Hunter,Atl,23.46,29.5,15,4.8,1.9,0.83,0.52,1.26
Gary Trent Jr.,Por,22.33,30.8,15,2.2,1.4,0.9,0.15,0.76
Derrick Rose,Nyk,32.61,26.8,14.9,2.9,4.2,0.89,0.43,1.4
Devonte' Graham,Cha,26.23,30.2,14.8,2.7,5.4,0.87,0.11,1.53
Lonzo Ball,Nor,23.55,31.8,14.6,4.8,5.7,1.49,0.56,2.24
Aaron Gordon,Orl,25.67,29.4,14.6,6.6,4.2,0.64,0.8,2.68
Kendrick Nunn,Mia,25.79,29.5,14.6,3.2,2.6,0.96,0.25,1.43
Deandre Ayton,Pho,22.82,30.6,14.4,10.5,1.4,0.59,1.17,1.48
Jaren Jackson Jr.,Mem,21.67,23.5,14.4,5.6,1.1,1.09,1.64,1.36
Thomas Bryant,Was,23.8,27.1,14.3,6.1,1.5,0.4,0.8,1.1
Rudy Gobert,Uta,28.89,30.8,14.3,13.5,1.3,0.56,2.68,1.66
Ben Simmons,Phi,24.82,32.4,14.3,7.2,6.9,1.6,0.6,2.98
Richaun Holmes,Sac,27.59,29.2,14.2,8.3,1.7,0.64,1.56,1.23
Al Horford,Okc,34.95,27.9,14.2,6.7,3.4,0.89,0.93,1.04
Derrick Rose,Det,32.61,22.8,14.2,1.9,4.2,1.2,0.27,1.93
Marvin Bagley III,Sac,22.18,25.9,14.1,7.4,1,0.49,0.49,1.37
Joe Harris,Bro,29.69,31,14.1,3.6,1.9,0.68,0.2,0.9
Luguentz Dort,Okc,22.08,29.7,14,3.6,1.7,0.87,0.37,1.52
Rui Hachimura,Was,23.27,31.5,13.8,5.5,1.4,0.79,0.12,1.19
LaMarcus Aldridge,San,35.83,25.9,13.7,4.5,1.7,0.38,0.86,0.95
Darius Bazley,Okc,20.93,31.2,13.7,7.2,1.8,0.53,0.45,2.22
Chris Boucher,Tor,28.35,24.2,13.6,6.7,1.1,0.58,1.85,0.77
Lauri Markkanen,Chi,23.99,25.8,13.6,5.3,0.9,0.51,0.29,1.02
Doug McDermott,Ind,29.37,24.5,13.6,3.3,1.3,0.3,0.09,0.8
Mikal Bridges,Pho,24.71,32.6,13.5,4.3,2.1,1.06,0.88,0.81
Montrezl Harrell,Lal,27.3,22.9,13.5,6.2,1.1,0.67,0.71,1.07
Carmelo Anthony,Por,36.97,24.5,13.4,3.1,1.5,0.67,0.55,0.88
Goran Dragic,Mia,35.03,26.7,13.4,3.3,4.4,0.66,0.14,2.38
Josh Jackson,Det,24.26,25.2,13.4,4.1,2.3,0.85,0.76,2.29
Marcus Morris Sr.,Lac,31.7,26.3,13.4,4.1,1,0.6,0.26,1
Danilo Gallinari,Atl,32.77,24,13.3,4.2,1.5,0.59,0.2,0.84
Jarrett Allen,Cle,23.07,30.3,13.2,9.9,1.7,0.47,1.41,1.53
Duncan Robinson,Mia,27.07,31.4,13.1,3.5,1.8,0.6,0.28,1.13
Marcus Smart,Bos,27.2,32.9,13.1,3.5,5.7,1.5,0.5,2
Evan Fournier,Bos,28.55,29.5,13,3.3,3.1,1.25,0.63,1.19
Tyrese Haliburton,Sac,21.21,30.1,13,3,5.3,1.33,0.48,1.59
Shake Milton,Phi,24.64,23.2,13,2.3,3.1,0.62,0.29,1.63
Cole Anthony,Orl,21,27.1,12.9,4.7,4.1,0.64,0.38,2.26
Markelle Fultz,Orl,22.97,26.9,12.9,3.1,5.4,1,0.25,2.25
Kyle Kuzma,Lal,25.81,28.7,12.9,6.1,1.9,0.5,0.6,1.66
P.J. Washington,Cha,22.73,30.5,12.9,6.5,2.5,1.09,1.23,2
LaMarcus Aldridge,Bro,35.83,26,12.8,4.8,2.6,0.6,2.2,1.4
Keldon Johnson,San,21.6,28.5,12.8,6,1.8,0.58,0.35,1.13
Will Barton,Den,30.36,31,12.7,4,3.2,0.89,0.41,1.71
Miles Bridges,Cha,23.16,29.3,12.7,6,2.2,0.67,0.79,1.61
Alec Burks,Nyk,29.83,25.6,12.7,4.6,2.2,0.63,0.29,1
Jalen Brunson,Dal,24.71,25,12.6,3.4,3.5,0.51,0.01,1.18
Myles Turner,Ind,25.15,31,12.6,6.5,1,0.85,3.38,1.43
Seth Curry,Phi,30.73,28.7,12.5,2.4,2.7,0.77,0.14,1.14
Kyle Anderson,Mem,27.66,27.4,12.4,5.7,3.6,1.22,0.83,1.25
Blake Griffin,Det,32.17,31.3,12.3,5.2,3.9,0.7,0.1,1.6
Brook Lopez,Mil,33.12,27.2,12.3,5,0.7,0.57,1.47,0.91
Saddiq Bey,Det,22.1,27.3,12.2,4.6,1.4,0.74,0.2,0.86
Eric Bledsoe,Nor,31.44,29.7,12.2,3.4,3.8,0.77,0.34,1.58
Kevin Love,Cle,32.69,24.9,12.2,7.4,2.5,0.64,0.08,1.52
Joe Ingles,Uta,33.62,27.9,12.1,3.6,4.7,0.67,0.18,1.75
Josh Richardson,Dal,27.67,30.3,12.1,3.3,2.6,1.03,0.41,1.34
Lou Williams,Lac,34.55,21.9,12.1,2.1,3.4,0.93,0.1,1.57
Thaddeus Young,Chi,32.9,24.3,12.1,6.2,4.3,1.09,0.59,2
Cory Joseph,Det,29.74,26.4,12,3.2,5.5,1.21,0.47,1.79
Victor Oladipo,Mia,29.03,27.8,12,3.5,3.5,1.75,0.5,3.5
Jordan Poole,Gol,21.91,19.4,12,1.8,1.9,0.51,0.18,1
Khem Birch,Tor,28.63,30.4,11.9,7.5,1.9,0.89,1.16,1.11
Hamidou Diallo,Okc,22.8,23.8,11.9,5.2,2.4,0.97,0.38,1.53
Andre Drummond,Lal,27.77,24.8,11.9,10.2,1.4,1.1,0.95,2.05
Kevin Huerter,Atl,22.72,30.8,11.9,3.3,3.5,1.19,0.26,1.14
George Hill,Okc,35.04,26.3,11.8,2.1,3.1,0.86,0.14,0.86
Wendell Carter Jr.,Orl,22.09,26.5,11.7,8.8,1.6,0.77,0.82,1.32
Malik Monk,Cha,23.28,20.9,11.7,2.4,2.1,0.45,0.1,1.31
Davis Bertans,Was,28.51,25.7,11.5,3,0.9,0.58,0.23,0.58
Jusuf Nurkic,Por,26.73,23.8,11.5,9,3.4,1.03,1.08,1.97
James Wiseman,Gol,20.13,21.4,11.5,5.8,0.7,0.28,0.92,1.54
Rudy Gay,San,34.75,21.5,11.4,4.8,1.4,0.73,0.63,1.03
Bobby Portis,Mil,26.26,20.8,11.4,7.1,1.1,0.79,0.39,0.85
Immanuel Quickley,Nyk,21.92,19.4,11.4,2.1,2,0.47,0.19,0.91
Jae'Sean Tate,Hou,25.55,29.2,11.3,5.3,2.5,1.21,0.51,1.41
Jarrett Allen,Bro,23.07,26.6,11.2,10.4,1.7,0.58,1.58,1.83
Armoni Brooks,Hou,22.95,26,11.2,3.4,1.5,0.6,0.25,1.1
Hamidou Diallo,Det,22.8,23.3,11.2,5.4,1.2,0.5,0.6,1.35
R.J. Hampton,Orl,20.27,25.2,11.2,5,2.8,0.62,0.35,1.62
Enes Kanter,Por,28.99,24.4,11.2,11,1.2,0.46,0.67,1.08
Cam Reddish,Atl,21.71,28.9,11.2,4,1.3,1.27,0.35,1.31
Naz Reid,Min,21.72,19.2,11.2,4.6,1,0.49,1.07,0.99
Lonnie Walker IV,San,22.42,25.4,11.2,2.6,1.7,0.48,0.25,1.08
Ignas Brazdeikis,Orl,22.35,29.2,11.1,5.1,2,0.5,0.38,1.38
Terence Davis,Sac,24,21.5,11.1,3.3,1.7,1.04,0.26,1.26
Serge Ibaka,Lac,31.66,23.3,11.1,6.7,1.8,0.22,1.15,1.07
Nickeil Alexander-Walker,Nor,22.7,21.9,11,3.1,2.2,1.02,0.48,1.5
Jeff Green,Bro,34.72,27,11,3.9,1.6,0.53,0.4,0.79
Moritz Wagner,Orl,24.06,26,11,4.9,1.1,0.36,0.82,1.18
Dwayne Bacon,Orl,25.71,25.7,10.9,3.1,1.3,0.61,0.07,0.63
Oshae Brissett,Ind,22.91,24.7,10.9,5.5,0.9,0.9,0.95,0.48
Reggie Bullock,Nyk,30.17,30,10.9,3.4,1.5,0.8,0.17,0.69
Wendell Carter Jr.,Chi,22.09,24.7,10.9,7.8,2.2,0.56,0.75,1.53
Patty Mills,San,32.76,24.8,10.8,1.7,2.4,0.6,0.04,0.96
Cameron Oliver,Hou,20,21.9,10.8,5.3,1.3,0.5,1,0.75
Reggie Jackson,Lac,31.09,23,10.7,2.9,3.1,0.63,0.1,1.1
Ty Jerome,Okc,23.86,23.9,10.7,2.8,3.6,0.61,0.18,1.42
Grayson Allen,Mem,25.61,25.2,10.6,3.2,2.2,0.92,0.16,0.96
D.J. Augustin,Hou,33.52,20.8,10.6,2.2,3.9,0.4,0,1.55
Justin Holiday,Ind,32.12,30.3,10.5,3.6,1.7,1.03,0.57,0.75
Donte DiVincenzo,Mil,24.29,27.5,10.4,5.8,3.1,1.09,0.23,1.39
Cedi Osman,Cle,26.11,25.6,10.4,3.4,2.9,0.9,0.15,1.36
Mason Plumlee,Det,31.2,26.8,10.4,9.3,3.6,0.77,0.89,1.88
Delon Wright,Det,29.06,29.2,10.4,4.6,5,1.58,0.53,1.33
Brandon Clarke,Mem,24.66,24,10.3,5.6,1.6,1.03,0.86,0.56
Svi Mykhailiuk,Okc,23.93,23,10.3,3,1.8,0.8,0.2,1.63
Aaron Gordon,Den,25.67,25.9,10.2,4.7,2.2,0.68,0.56,1.16
Gary Harris,Orl,26.67,24.9,10.2,1.6,2.3,0.55,0.3,1.15
Monte Morris,Den,25.89,25.5,10.2,2,3.2,0.72,0.28,0.72
Jae Crowder,Pho,30.86,27.5,10.1,4.7,2.1,0.82,0.43,0.92
Daniel Gafford,Was,22.63,17.8,10.1,5.6,0.5,0.65,1.78,0.83
Jeremy Lamb,Ind,28.96,21.3,10.1,3.6,1.5,0.94,0.64,0.61
Theo Maledon,Okc,19.93,27.3,10.1,3.2,3.5,0.85,0.17,2.17
Elfrid Payton,Nyk,27.23,23.6,10.1,3.4,3.2,0.75,0.14,1.63
Taurean Prince,Cle,27.15,23.7,10.1,3.7,2.4,0.69,0.52,1.24
Bryn Forbes,Mil,27.82,19.3,10,1.6,0.6,0.33,0.01,0.63
Blake Griffin,Bro,32.17,21.5,10,4.7,2.4,0.69,0.5,1.15
Kelly Olynyk,Mia,30.08,26.9,10,6.1,2.1,0.93,0.6,1.28
Daniel Theis,Chi,29.12,24.9,10,5.9,1.8,0.7,0.61,1.09
Lou Williams,Atl,34.55,21.1,10,2.1,3.4,0.33,0.08,1.71
Delon Wright,Sac,29.06,25.8,10,3.9,3.6,1.56,0.37,1.3
Otto Porter Jr.,Chi,27.95,21.6,9.9,5.5,2,0.48,0.16,1
Dorian Finney-Smith,Dal,28.04,32,9.8,5.4,1.7,0.87,0.4,0.8
Frank Jackson,Det,23.04,18.5,9.8,2.2,0.9,0.38,0.03,0.88
Kentavious Caldwell-Pope,Lal,28.24,28.4,9.7,2.7,1.9,0.93,0.39,1.01
Gary Harris,Den,26.67,30.6,9.7,2.5,1.7,0.89,0.21,0.74
Mike Muscala,Okc,29.88,18.4,9.7,3.8,0.8,0.23,0.31,0.6
DeMarcus Cousins,Hou,30.76,20.2,9.6,7.6,2.4,0.84,0.72,1.56
Wayne Ellington,Det,33.46,22,9.6,1.8,1.5,0.39,0.2,0.72
Cameron Johnson,Pho,25.2,24,9.6,3.3,1.4,0.62,0.27,0.67
Isaac Okoro,Cle,20.3,32.4,9.6,3.1,1.9,0.93,0.36,1.28
Yogi Ferrell,Cle,28.02,20.3,9.5,3.5,2.5,1.5,0.5,1.5
Danny Green,Phi,33.9,28,9.5,3.8,1.7,1.33,0.81,0.96
Eric Paschall,Gol,24.53,17.4,9.5,3.2,1.3,0.3,0.18,1.08
Daniel Theis,Bos,29.12,24.5,9.5,5.2,1.6,0.6,1.02,0.98
Trevor Ariza,Mia,35.88,28,9.4,4.8,1.8,1,0.6,0.7
Cody Zeller,Cha,28.61,20.9,9.4,6.8,1.8,0.56,0.35,1.06
Kenyon Martin Jr.,Hou,20.36,23.7,9.3,5.4,1.1,0.67,0.91,0.84
Larry Nance Jr.,Cle,28.37,31.2,9.3,6.7,3.1,1.74,0.49,1.57
Landry Shamet,Bro,24.18,23,9.3,1.8,1.6,0.52,0.16,0.79
Desmond Bane,Mem,22.89,22.3,9.2,3.1,1.7,0.62,0.24,0.87
Josh Hart,Nor,26.2,28.7,9.2,8,2.3,0.81,0.26,1.09
James Johnson,Nor,34.24,24.5,9.2,4.1,2.2,0.82,0.86,1.27
David Nwaba,Hou,28.34,22.6,9.2,3.9,1,1,0.7,0.57
Patrick Williams,Chi,19.72,27.9,9.2,4.6,1.4,0.9,0.65,1.38
Furkan Korkmaz,Phi,23.81,19.3,9.1,2.1,1.5,0.89,0.16,0.84
De'Anthony Melton,Mem,22.97,20.1,9.1,3.1,2.5,1.13,0.6,1.27
Talen Horton-Tucker,Lal,20.47,20.1,9,2.6,2.8,0.97,0.32,1.63
Justin Jackson,Mil,26.14,32.6,9,6,1,0,0,1
Robin Lopez,Was,33.12,19.1,9,3.8,0.8,0.21,0.62,1.06
Paul Millsap,Den,36.26,20.8,9,4.7,1.8,0.91,0.64,0.91
Jaylen Nowell,Min,21.86,18.1,9,2.3,1.5,0.52,0.29,0.67
Ivica Zubac,Lac,24.16,22.3,9,7.2,1.3,0.33,0.86,1.13
Bruce Brown,Bro,24.75,22.3,8.8,5.4,1.6,0.86,0.43,0.83
Michael Carter-Williams,Orl,29.6,25.8,8.8,4.5,4.1,0.81,0.55,2.23
Danuel House Jr.,Hou,27.94,25.9,8.8,3.7,1.9,0.58,0.44,1
Jay Scrubb,Lac,20.71,21.1,8.8,3.5,0.3,1,0,1.75
Tony Bradley,Okc,23.35,18,8.7,6.1,0.9,0.41,0.77,1.23
Raul Neto,Was,28.99,21.9,8.7,2.4,2.3,1.14,0.09,0.83
JJ Redick,Nor,36.89,18.6,8.7,1.7,1.3,0.29,0.06,0.81
Austin Rivers,Den,28.79,26.9,8.7,2.3,2.6,1.2,0.13,0.93
Isaiah Roby,Okc,23.28,23.4,8.7,5.6,1.8,0.85,0.61,1.85
Dario Saric,Pho,27.11,17.4,8.7,3.8,1.3,0.6,0.08,1.14
Moses Brown,Okc,21.59,21.4,8.6,8.9,0.2,0.72,1.12,1
T.J. McConnell,Ind,29.14,26,8.6,3.7,6.6,1.86,0.33,1.96
Jakob Poeltl,San,25.59,26.7,8.6,7.9,1.9,0.68,1.78,1.22
Ricky Rubio,Min,30.57,26.1,8.6,3.3,6.4,1.46,0.06,1.63
Avery Bradley,Mia,30.47,21.1,8.5,1.8,1.4,0.7,0.1,0.9
Robert Covington,Por,30.42,32,8.5,6.7,1.7,1.44,1.2,0.91
Gabriel Deck,Okc,26.27,21.2,8.4,4,2.4,0.8,0,0.6
James Ennis III,Orl,30.88,24.1,8.4,4,1.5,0.78,0.17,0.9
Cameron Payne,Pho,26.77,18,8.4,2.4,3.6,0.6,0.27,1
Isaiah Hartenstein,Cle,23.03,17.9,8.3,6,2.5,0.5,1.19,1.44
Luke Kennard,Lac,24.89,19.6,8.3,2.6,1.7,0.35,0.14,0.76
Mitchell Robinson,Nyk,23.13,27.5,8.3,8.1,0.5,1.13,1.45,0.84
Sterling Brown,Hou,26.26,24.1,8.2,4.4,1.4,0.75,0.24,0.8
Aleksej Pokusevski,Okc,19.39,24.2,8.2,4.7,2.2,0.44,0.93,2.2
Nicolas Batum,Lac,32.42,27.4,8.1,4.7,2.2,1.03,0.55,0.79
JaMychal Green,Den,30.9,19.3,8.1,4.8,0.9,0.45,0.38,0.91
Taurean Prince,Bro,27.15,18.2,8.1,2.8,0.6,0.67,0.67,0.92
Hassan Whiteside,Sac,31.93,15.2,8.1,6,0.6,0.25,1.28,1.11
Mo Bamba,Orl,23.01,15.8,8,5.8,0.8,0.3,1.26,0.8
Tyrese Maxey,Phi,20.53,15.3,8,1.7,2,0.43,0.21,0.67
JaVale McGee,Cle,33.32,15.2,8,5.2,1,0.48,1.21,1.36
Ben McLemore,Lal,28.26,17.5,8,1.6,0.5,0.14,0.29,0.71
Otto Porter Jr.,Orl,27.95,22.2,8,4.7,1.7,1.33,0,0
Robert Williams III,Bos,23.58,18.9,8,6.9,1.8,0.83,1.77,1
Kenrich Williams,Okc,26.46,21.6,8,4.1,2.3,0.86,0.26,1.15
Gorgui Dieng,Mem,31.33,16.9,7.9,4.5,1.3,0.77,0.64,1
Isaiah Stewart,Det,19.99,21.4,7.9,6.7,0.9,0.56,1.26,0.99
DeMarcus Cousins,Lac,30.76,12.9,7.8,4.5,1,0.81,0.38,1.56
Willy Hernangomez,Nor,26.97,18,7.8,7.1,1.1,0.47,0.49,0.72
Chuma Okeke,Orl,22.75,25.2,7.8,4,2.2,1.07,0.51,0.84
Anfernee Simons,Por,21.94,17.3,7.8,2.2,1.4,0.28,0.13,0.67
PJ Dozier,Den,24.56,21.8,7.7,3.6,1.8,0.62,0.44,0.94
Mike James,Bro,30.75,18.2,7.7,2.5,4.2,0.46,0.08,1.54
Naji Marshall,Nor,23.31,21.9,7.7,4.6,2.8,0.81,0.31,1.19
Payton Pritchard,Bos,23.3,19.2,7.7,2.4,1.8,0.56,0.14,0.8
Tomas Satoransky,Chi,29.55,22.5,7.7,2.4,4.7,0.69,0.24,1.66
Isaiah Thomas,Nor,32.27,16.1,7.7,1.3,1.7,0.33,0,2
Steven Adams,Nor,27.83,27.7,7.6,8.9,1.9,0.93,0.66,1.36
Rajon Rondo,Lac,35.23,20.4,7.6,3.1,5.8,0.94,0.11,2.22
