NAME,TEAM,AGE,MPG,PPG,RPG,APG,SPG,BPG,TOPG
Moritz Wagner,Was,24.06,15,7.1,2.9,1.3,0.88,0.32,0.84
Draymond Green,Gol,31.2,31.5,7,7.1,8.9,1.7,0.83,2.98
Dwight Howard,Phi,35.44,17.3,7,8.4,0.9,0.43,0.9,1.62
Terance Mann,Lac,24.58,18.9,7,3.6,1.6,0.45,0.19,0.6
Royce O'Neale,Uta,27.95,31.6,7,6.8,2.5,0.8,0.45,1.17
Terence Davis,Tor,24,14.5,6.9,1.9,1.1,0.5,0.21,0.85
Maurice Harkless,Sac,28.02,24.9,6.9,3,1.4,1.08,0.65,0.77
Damian Jones,Sac,25.88,20,6.9,4.5,1.4,0.53,1,0.88
Svi Mykhailiuk,Det,23.93,17.6,6.9,2.1,1.6,0.75,0.17,1.08
Georges Niang,Uta,27.92,16,6.9,2.4,0.8,0.36,0.1,0.71
Jeff Teague,Bos,32.93,18.1,6.9,1.7,2.1,0.76,0.21,1.15
Brad Wanamaker,Cha,31.81,19.5,6.9,1.8,3.4,0.73,0.23,1.55
Pat Connaughton,Mil,28.36,22.8,6.8,4.8,1.2,0.68,0.33,0.48
Killian Hayes,Det,19.81,25.8,6.8,2.7,5.3,1.04,0.38,3.19
Derrick Jones Jr.,Por,24.25,22.7,6.8,3.5,0.8,0.64,0.93,0.55
Jaden McDaniels,Min,20.63,24,6.8,3.7,1.1,0.56,0.95,0.75
Justise Winslow,Mem,25.14,19.5,6.8,4.5,1.9,0.58,0.46,1.42
Spencer Dinwiddie,Bro,28.11,21.4,6.7,4.3,3,0.67,0.33,1.67
Damyean Dotson,Cle,27.03,19.7,6.7,2,2,0.35,0.09,0.91
Markieff Morris,Lal,31.7,19.7,6.7,4.4,1.2,0.36,0.31,0.89
Abdel Nader,Pho,27.64,14.8,6.7,2.6,0.8,0.42,0.38,0.79
Ish Smith,Was,32.86,21,6.7,3.4,3.9,0.73,0.3,0.93
Trey Burke,Dal,28.51,14.7,6.6,0.9,1.3,0.6,0.1,0.53
Nicolas Claxton,Bro,22.08,18.6,6.6,5.2,0.9,0.72,1.25,0.56
Cory Joseph,Sac,29.74,21.5,6.6,2.3,2.5,0.86,0.2,1
Frank Kaminsky,Pho,28.12,15.2,6.6,4,1.7,0.3,0.36,0.47
Jeff Teague,Mil,32.93,15.9,6.6,1.5,2.8,0.38,0.24,1.19
Xavier Tillman,Mem,22.34,18.4,6.6,4.3,1.3,0.75,0.56,0.76
Marquese Chriss,Gol,23.87,13.4,6.5,6.5,1,0,1,1
Damion Lee,Gol,28.57,18.9,6.5,3.2,1.3,0.67,0.14,0.53
Chasson Randle,Orl,28.28,20.4,6.5,2,1.8,0.56,0.12,1.12
Cameron Reynolds,Hou,26.27,17.2,6.5,2.5,1,0,0,0
Denzel Valentine,Chi,27.5,16.7,6.5,3.2,1.7,0.48,0.11,0.68
Alex Caruso,Lal,27.21,21,6.4,2.9,2.8,1.1,0.26,1.31
Kira Lewis Jr.,Nor,20.11,16.7,6.4,1.3,2.3,0.7,0.19,0.63
Timothe Luwawu-Cabarrot,Bro,26.02,18.1,6.4,2.2,1.2,0.57,0.1,0.74
Jabari Parker,Bos,26.17,13.8,6.4,3.6,1,0.1,0.4,0.7
Deni Avdija,Was,20.37,23.3,6.3,4.8,1.2,0.59,0.28,0.61
Tyus Jones,Mem,25.02,17.5,6.3,2,3.7,0.9,0.09,0.69
Frank Mason,Orl,27.12,19.8,6.3,3,3,0,0,1.25
Chimezie Metu,Sac,24.15,13.6,6.3,3.1,0.8,0.39,0.53,0.81
D.J. Augustin,Mil,33.52,19.3,6.1,1.4,3,0.54,0.03,0.92
Aron Baynes,Tor,34.44,18.5,6.1,5.2,0.9,0.3,0.43,0.87
Facundo Campazzo,Den,30.15,21.9,6.1,2.1,3.6,1.22,0.22,1.12
Quinn Cook,Cle,28.15,13.6,6.1,1.7,1.9,0.43,0,0.57
Robert Franks,Orl,20,14.4,6.1,2,0.7,0.43,0.43,0.29
Jaylen Hoard,Okc,22.13,16.8,6.1,3.4,1.3,0.68,0.26,0.89
Max Strus,Mia,25.13,13,6.1,1.1,0.6,0.28,0.05,0.21
D.J. Wilson,Hou,25.24,14.3,6.1,3.8,0.9,0.43,0.52,0.78
George Hill,Phi,35.04,18.9,6,2,1.9,0.69,0.19,1.19
Dakota Mathias,Phi,25.85,15.4,6,0.9,1.6,0.13,0.38,0.13
Dean Wade,Cle,24.49,19.2,6,3.4,1.2,0.54,0.33,0.48
Dwight Powell,Dal,29.83,16.6,5.9,4.1,1.1,0.6,0.52,0.69
Drew Eubanks,San,24.29,14,5.8,4.5,0.8,0.33,0.91,0.83
Mason Jones,Hou,22.82,11.8,5.8,2,1.5,0.23,0.04,1.08
DeAndre' Bembry,Tor,26.87,19.1,5.7,2.9,2.1,1.04,0.35,1.39
James Johnson,Dal,34.24,17.4,5.7,3,1.7,0.83,0.79,0.93
Rodney McGruder,Det,29.8,12.1,5.7,1.4,1,0.5,0.06,0.44
Jordan Nwora,Mil,22.69,9.1,5.7,2,0.2,0.53,0.23,0.8
Juan Toscano-Anderson,Gol,28.1,20.9,5.7,4.4,2.8,0.77,0.49,1.17
Freddie Gillespie,Tor,20,19.6,5.6,4.9,0.5,0.65,1.05,0.6
Donta Hall,Orl,23.78,13.8,5.6,4.8,0.8,0.38,0.77,0.62
Saben Lee,Det,21.9,16.3,5.6,2,3.6,0.67,0.27,1.15
Mychal Mulder,Gol,26.93,12.8,5.6,1,0.4,0.2,0.2,0.27
Al-Farouq Aminu,Orl,30.65,21.6,5.5,5.4,1.7,1,0.53,1.47
Tony Bradley,Phi,23.35,14.4,5.5,5.2,0.9,0.3,0.65,0.3
Troy Brown Jr.,Chi,21.8,18.2,5.5,3.4,0.8,0.54,0.15,0.38
Tyler Cook,Det,23.65,15,5.5,3.4,0.5,0.29,0.07,0.75
Anthony Lamb,Hou,23.32,17.3,5.5,2.9,1,0.25,0.21,0.79
Garrison Mathews,Was,24.56,16.2,5.5,1.4,0.4,0.45,0.11,0.16
JaVale McGee,Den,33.32,13.5,5.5,5.3,0.5,0.23,1.08,1.15
Devin Vassell,San,20.73,17,5.5,2.8,0.9,0.69,0.29,0.35
Derrick Favors,Uta,29.84,15.3,5.4,5.5,0.6,0.47,1,0.53
Taj Gibson,Nyk,35.9,20.8,5.4,5.6,0.8,0.69,1.09,0.49
Tyler Johnson,Bro,29.03,17.5,5.4,2,1.2,0.36,0,0.44
Damian Jones,Lal,25.88,14,5.4,3.3,0.1,0.13,0.88,0.63
Jahlil Okafor,Det,25.42,12.9,5.4,2.4,0.5,0.22,0.19,0.78
Josh Okogie,Min,22.71,20.3,5.4,2.6,1.1,0.92,0.47,0.73
Justin Patton,Hou,23.92,19,5.4,3.8,1.1,0.92,1.08,0.31
Jarred Vanderbilt,Min,22.12,17.8,5.4,5.8,1.2,1,0.73,0.83
Khem Birch,Orl,28.63,19.8,5.3,5.1,1.1,0.67,0.58,0.48
Willie Cauley-Stein,Dal,27.75,17.1,5.3,4.5,0.7,0.4,0.81,0.55
Jarrett Culver,Min,22.24,14.7,5.3,3.1,0.7,0.5,0.26,0.82
Gorgui Dieng,San,31.33,11.3,5.3,2.6,1.2,0.56,0.13,0.63
Glenn Robinson III,Sac,27.35,16.1,5.3,2,0.9,0.17,0.13,0.48
Tony Snell,Atl,29.52,21.1,5.3,2.4,1.3,0.28,0.23,0.45
Avery Bradley,Hou,30.47,23,5.2,2.3,1.9,0.82,0.18,1.12
Chandler Hutchison,Was,25.06,15.7,5.2,3.2,0.7,0.61,0.28,0.83
Alize Johnson,Bro,25.07,10.5,5.2,5,0.8,0.28,0.28,0.5
Patrick Patterson,Lac,32.18,15.3,5.2,2,0.8,0.37,0.21,0.29
Dylan Windler,Cle,24.65,16.5,5.2,3.5,1.1,0.61,0.39,1.03
Goga Bitadze,Ind,21.83,12.5,5.1,3.3,0.8,0.2,1.33,0.38
Sekou Doumbouya,Det,20.4,15.5,5.1,2.6,0.8,0.43,0.16,0.79
Jake Layman,Min,27.2,13.9,5.1,1.5,0.6,0.64,0.42,0.58
Nerlens Noel,Nyk,27.1,24.2,5.1,6.4,0.7,1.09,2.2,1.02
Precious Achiuwa,Mia,21.66,12.1,5,3.4,0.5,0.33,0.46,0.7
Bismack Biyombo,Cha,28.72,20.4,5,5.3,1.2,0.26,1.12,1.08
Nemanja Bjelica,Mia,33.02,14.2,5,2.5,1.8,0.64,0.27,0.45
Marc Gasol,Lal,36.3,19.1,5,4.1,2.1,0.5,1.12,1.02
Trey Lyles,San,25.53,15.6,5,3.7,0.6,0.26,0.04,0.26
Caleb Martin,Cha,25.63,15.4,5,2.7,1.3,0.7,0.23,0.62
Jordan McLaughlin,Min,25.1,18.4,5,2.1,3.8,1,0.12,1
Brandon Goodwin,Atl,25.62,13.2,4.9,1.5,2,0.36,0,0.77
DaQuan Jeffries,Hou,23.71,20.1,4.9,3.2,1.2,0.62,0.46,0.46
E'Twaun Moore,Pho,32.22,14.4,4.9,1.7,1.5,0.56,0.19,0.85
Jerome Robinson,Was,24.23,17.9,4.9,2.2,1.5,0.71,0.35,1.12
Langston Galloway,Pho,29.44,10.9,4.8,1.1,0.7,0.2,0,0.33
Wesley Matthews,Lal,34.59,19.5,4.8,1.6,0.9,0.64,0.28,0.45
Gabe Vincent,Mia,24.92,13.1,4.8,1.1,1.3,0.42,0.04,0.68
Daniel Gafford,Chi,22.63,12.4,4.7,3.3,0.5,0.35,1.1,0.71
Rodney Hood,Por,28.57,19.1,4.7,1.9,1.2,0.53,0.11,0.82
Boban Marjanovic,Dal,32.75,8.2,4.7,3.9,0.3,0.06,0.18,0.36
Aaron Nesmith,Bos,21.58,14.5,4.7,2.8,0.5,0.33,0.2,0.5
Brad Wanamaker,Gol,31.81,16,4.7,1.7,2.5,0.67,0.15,0.95
Grant Williams,Bos,22.46,18.1,4.7,2.8,1,0.51,0.37,0.89
Yogi Ferrell,Lac,28.02,12.1,4.6,1.5,2.1,0.5,0.25,0
Nassir Little,Por,21.26,13.3,4.6,2.7,0.5,0.1,0.27,0.38
Semi Ojeleye,Bos,26.45,17,4.6,2.6,0.7,0.3,0,0.38
Onyeka Okongwu,Atl,20.43,12,4.6,3.3,0.4,0.46,0.66,0.58
JaKarr Sampson,Ind,28.16,10.9,4.6,2.7,0.1,0.07,0.48,0.52
Kelan Martin,Ind,25.79,9.2,4.5,2.2,0.5,0.29,0.29,0.46
Charlie Brown Jr.,Okc,23.29,16.9,4.4,1.9,1,0.44,0.22,0.67
Solomon Hill,Atl,30.16,21.3,4.4,3,1.1,0.7,0.15,0.59
Andre Iguodala,Mia,37.3,21.3,4.4,3.5,2.3,0.92,0.52,1.06
Stanley Johnson,Tor,24.97,16.5,4.4,2.5,1.5,0.85,0.31,0.89
Luke Kornet,Bos,25.84,14.1,4.4,2.9,1.1,0.11,1.39,0.33
JJ Redick,Dal,36.89,11.3,4.4,0.9,0.8,0.15,0.08,0.85
P.J. Tucker,Hou,36.03,30,4.4,4.6,1.4,0.88,0.56,1.03
Yuta Watanabe,Tor,26.59,14.5,4.4,3.2,0.8,0.52,0.4,0.38
Troy Brown Jr.,Was,21.8,13.7,4.3,2.9,0.9,0.14,0.19,0.76
Devin Cannady,Orl,24.99,9.3,4.3,0.6,0.1,0.63,0.13,0.25
Mfiondu Kabengele,Cle,23.76,11.6,4.3,2.9,0.8,0.38,0.63,0.56
John Konchar,Mem,25.15,13.4,4.3,3,1.1,0.7,0.21,0.42
Javonte Green,Bos,27.82,13.8,4.2,2.1,0.4,0.72,0.08,0.52
Mike Scott,Phi,32.83,16.7,4.2,2.4,0.8,0.47,0.27,0.37
Jevon Carter,Pho,25.67,11.9,4.1,1.5,1.2,0.48,0.15,0.27
Josh Hall,Okc,20.6,16,4.1,2.8,1.3,0.19,0.05,1.19
Kevon Looney,Gol,25.27,19,4.1,5.3,1.9,0.36,0.36,0.61
Nico Mannion,Gol,20.18,12.1,4.1,1.5,2.3,0.53,0.03,1.07
Darius Miller,Okc,31.16,10.9,4.1,1.3,1.2,0.67,0.28,0.44
Lamar Stevens,Cle,23.86,12.5,4.1,2.4,0.6,0.43,0.33,0.58
Brodric Thomas,Cle,24.3,13.4,4.1,1.8,0.9,0.5,0.32,0.64
Obi Toppin,Nyk,23.2,11,4.1,2.2,0.5,0.27,0.24,0.37
Paul Watson,Tor,26.38,11,4.1,1.7,0.6,0.19,0.11,0.33
Jordan Bone,Orl,23.53,14,4,1.7,1.3,0.14,0,0.21
Chris Chiozza,Bro,25.49,10.6,4,1.1,3,0.32,0.27,0.73
Carsen Edwards,Bos,23.18,8.9,4,0.8,0.5,0.23,0.03,0.23
Udonis Haslem,Mia,40.94,2.7,4,1,0,0,0,0
Cody Martin,Cha,25.63,16.3,4,3.1,1.7,0.73,0.23,0.77
Nicolo Melli,Dal,30.3,14.1,4,2.8,0.8,0.26,0.13,0.22
Rodney Hood,Tor,28.57,12.7,3.9,1.8,0.4,0.24,0.18,0.29
Justin James,Sac,24.31,8.6,3.9,0.8,0.6,0.22,0.08,0.42
Kevin Knox II,Nyk,21.77,11.1,3.9,1.5,0.5,0.29,0.14,0.4
Rajon Rondo,Atl,35.23,14.9,3.9,2,3.5,0.7,0.07,1.44
Matisse Thybulle,Phi,24.2,20,3.9,1.9,1,1.62,1.09,0.49
Dante Exum,Cle,25.84,19.4,3.8,2.8,2.2,0.67,0.33,1.17
Ersan Ilyasova,Uta,34.01,8.7,3.8,1.7,0.2,0.59,0.18,0.47
Nathan Knight,Atl,23.66,8.4,3.8,2.2,0.2,0.27,0.3,0.45
Thon Maker,Cle,20,9.6,3.8,2.3,0.5,0.25,0.5,0.38
Skylar Mays,Atl,23.7,8.2,3.8,1.1,0.9,0.42,0.06,0.27
Tremont Waters,Bos,23.35,9.1,3.8,0.8,2.4,0.58,0.04,1.04
Isaiah Joe,Phi,21.87,9.3,3.7,0.9,0.5,0.29,0.1,0.27
Luka Samanic,San,21.35,9.3,3.7,2.1,0.5,0.24,0.24,0.61
Matt Thomas,Uta,26.78,7.1,3.6,1.2,0.5,0.11,0,0.42
D.J. Wilson,Mil,25.24,8.7,3.6,2.1,0.3,0.08,0.33,0.33
Isaiah Hartenstein,Den,23.03,9.1,3.5,2.8,0.5,0.37,0.67,0.7
DaQuan Jeffries,Sac,23.71,12.9,3.5,1.6,0.3,0.39,0.22,0.44
Gary Clark,Orl,26.5,18.2,3.4,3.2,0.9,0.34,0.2,0.49
Wenyen Gabriel,Nor,24.14,11.5,3.4,2.6,0.5,0.43,0.38,0.71
Paul Reed,Phi,21.92,6.8,3.4,2.3,0.5,0.38,0.5,0.46
Sindarius Thornwell,Orl,26.5,20.5,3.4,1.9,2.4,1,0.14,0.43
Shaquille Harrison,Den,27.61,16.3,3.3,2.3,0.9,0.88,0.29,0.35
Meyers Leonard,Mia,29.22,9.8,3.3,2.3,0.7,0,0,0.67
Zeke Nnaji,Den,20.35,9.5,3.3,1.6,0.2,0.17,0.1,0.17
Amir Coffey,Lac,23.92,9,3.2,1,0.5,0.23,0,0.34
Killian Tillie,Mem,23.2,10.1,3.2,1.3,0.4,0.28,0.44,0.11
Ryan Arcidiacono,Chi,27.14,10.2,3.1,1.5,1.3,0.2,0,0.23
Mamadi Diakite,Mil,24.32,10.1,3.1,2.4,0.6,0.5,0.43,0.21
Anthony Gill,Was,28.58,8.4,3.1,2,0.4,0.38,0.15,0.31
Romeo Langford,Bos,21.56,15.7,3.1,1.9,0.7,0.33,0.22,0.56
Alfonzo McKinnie,Lal,28.66,6.6,3.1,1.4,0.2,0.18,0,0.13
Jahmi'us Ramsey,Sac,19.94,7.3,3.1,0.8,0.5,0.31,0.08,0.23
Rodions Kurucs,Mil,23.28,6.7,3,1.8,0.8,0.6,0,0.8
Sam Merrill,Mil,25,7.8,3,1,0.7,0.27,0.03,0.33
Norvel Pelle,Sac,28.28,3.8,3,1,1,0,0,0
Reggie Perry,Bro,21.15,8.1,3,2.8,0.5,0.23,0.23,0.58
Dennis Smith Jr.,Nyk,23.47,9.2,3,0.7,1,1,0,0.33
Thanasis Antetokounmpo,Mil,28.83,9.7,2.9,2.2,0.8,0.39,0.18,0.75
Trent Forrest,Uta,22.93,10.1,2.9,1.5,1.5,0.3,0.13,0.7
Jordan Bell,Was,26.36,13.4,2.8,3.8,1,0.6,0.6,0.6
Bruno Caboclo,Hou,25.65,6.1,2.8,2.3,0.2,0,0.33,0.67
Matthew Dellavedova,Cle,30.69,17.2,2.8,1.8,4.5,0.31,0.08,0.46
Harry Giles III,Por,23.07,9.2,2.8,3.5,0.8,0.21,0.34,0.53
Kyle Guy,Sac,23.77,7.6,2.8,1.1,1,0.19,0,0.35
Markus Howard,Den,22.21,5.5,2.8,0.6,0.5,0.11,0.03,0.49
Wes Iwundu,Nor,26.41,14,2.8,2.6,0.4,0.33,0.06,0.72
Mason Jones,Phi,22.82,4.5,2.7,0.7,0.5,0.17,0,0.17
Marcos Louzada Silva,Nor,20,18.8,2.7,1,1,0.67,0,1
Frank Ntilikina,Nyk,22.8,9.8,2.7,0.9,0.6,0.55,0.12,0.33
Jabari Parker,Sac,26.17,9.1,2.7,2,0.3,0,0.33,1
Chris Silva,Mia,24.66,7.5,2.7,2.3,0.5,0.09,0.45,0.82
Matt Thomas,Tor,26.78,7.4,2.7,0.8,0.3,0.08,0,0.23
Keita Bates-Diop,San,25.31,8.2,2.6,1.6,0.4,0.37,0.17,0.23
Amida Brimah,Ind,27.26,5.9,2.6,1.6,0.2,0,1,0.8
Tacko Fall,Bos,25.43,7.5,2.6,2.9,0.2,0.06,1.11,0.33
Javonte Green,Chi,27.82,8,2.6,1.2,0.4,0.63,0.25,0.38
Josh Green,Dal,20.5,11.4,2.6,2,0.7,0.41,0.08,0.44
R.J. Hampton,Den,20.27,9.3,2.6,2,0.6,0.2,0.08,0.44
Grant Riller,Cha,24.27,3.9,2.6,0.1,0.4,0.14,0,0.14
P.J. Tucker,Mil,36.03,19.8,2.6,2.8,0.8,0.5,0.1,0.35
Anderson Varejao,Cle,38.63,7.2,2.6,4,0.6,0,0.4,0.2
Torrey Craig,Mil,30.41,11.2,2.5,2.4,0.9,0.5,0.39,0.28
Rondae Hollis-Jefferson,Por,26.37,9.8,2.5,2.4,1.2,0.18,0.36,0.18
Tre Jones,San,21.35,7.3,2.5,0.6,1.1,0.22,0,0.35
KZ Okpala,Mia,22.05,12.1,2.5,1.8,0.5,0.27,0.3,0.41
Gary Payton II,Gol,28.46,4,2.5,1.1,0.1,0.6,0.1,0.1
Brodric Thomas,Hou,24.3,6.1,2.5,1,1,0.25,0.25,1
Vernon Carey Jr.,Cha,20.22,6,2.4,1.4,0.1,0.05,0.26,0.26
Jeremiah Martin,Cle,24.91,8.4,2.4,0.8,0.4,0.56,0.22,0.67
Rayjon Tucker,Phi,23.64,4.9,2.4,0.8,0.4,0.14,0,0.29
Jarrell Brantley,Uta,24.94,4.9,2.3,1,0.5,0.25,0.07,0.29
CJ Elleby,Por,20.92,6.4,2.3,1.1,0.3,0.2,0.1,0.17
Alex Len,Tor,27.92,10.8,2.3,1.6,0.4,0.14,0.86,1.14
Justin Robinson,Okc,23.6,9.8,2.3,0.8,1,0.33,0,0.22
Quinndary Weatherspoon,San,24.68,6.1,2.3,0.6,0.4,0.4,0.1,0.5
Bol Bol,Den,21.5,5,2.2,0.8,0.2,0.09,0.31,0.41
Sean McDermott,Mem,24.53,8.8,2.2,1.1,0.2,0.11,0.17,0.22
Vlatko Cancar,Den,24.1,6.9,2.1,1.2,0.3,0.27,0.05,0.34
Quinn Cook,Lal,28.15,3.9,2.1,0.3,0.3,0.06,0.06,0.19
Ed Davis,Min,31.95,13,2.1,5,0.9,0.57,0.57,0.3
Devon Dotson,Chi,21.79,4.6,2.1,0.5,0.6,0.36,0,0
Wes Iwundu,Dal,26.41,12.5,2.1,1.9,0.4,0.39,0.13,0.26
Deividas Sirvydis,Det,20.93,6.7,2.1,1.5,0.3,0.1,0,0.25
Isaac Bonga,Was,21.52,10.8,2,1.7,0.6,0.28,0.23,0.55
Devontae Cacok,Lal,24.6,4.9,2,1.6,0.1,0.25,0.2,0.2
Nate Hinton,Dal,21.94,4.4,2,0.4,0.4,0.29,0.1,0.24
Luke Kornet,Chi,25.84,7.2,2,1.2,0.3,0.15,0.54,0.08
Nicolo Melli,Nor,30.3,11,2,2.6,1.1,0.41,0.05,0.32
Norvel Pelle,Bro,28.28,9.3,2,2.3,0,0,1,1
Jontay Porter,Mem,21.5,4.9,2,1.3,0.1,0.27,0.09,0.64
Jalen Smith,Pho,21.17,5.8,2,1.4,0.1,0.04,0.19,0.26
Ray Spalding,Hou,24.18,9.4,2,2,0,0,1,1.5
Chandler Hutchison,Chi,25.06,9.1,1.9,2.9,0.6,0.14,0,0.71
Miye Oni,Uta,23.78,9.6,1.9,1.6,0.5,0.2,0.15,0.3
Alen Smailagic,Gol,20.74,5.6,1.9,1.1,0.3,0.2,0.33,0.33
Cassius Winston,Was,23.21,4.5,1.9,0.4,0.5,0.09,0.05,0.23
Daniel Oturu,Lac,21.66,5.4,1.8,1.6,0.3,0.17,0.23,0.3
Axel Toupane,Mil,20,7.7,1.8,0.8,0.5,0.25,0.38,0
Elijah Hughes,Uta,23.19,3.5,1.7,0.5,0.3,0.06,0.06,0.33
T.J. Leaf,Por,24.05,5.1,1.7,0.7,0.1,0.29,0.14,0.29
James Nunnally,Nor,30.84,5.3,1.7,1,0.3,0,0,0.22
Tim Frazier,Mem,30.54,12.4,1.6,1.6,3.2,0.4,0.2,0.8
Damian Jones,Pho,25.88,6.7,1.6,1.3,0.3,0.07,0.36,0.43
Al-Farouq Aminu,Chi,30.65,11.2,1.5,3.2,0.3,0.33,0,0.5
Bruno Fernando,Atl,22.75,6.8,1.5,2.4,0.3,0.12,0.09,0.64
Cassius Stanley,Ind,21.75,3.9,1.5,0.8,0,0.04,0.08,0.04
Anthony Tolliver,Phi,35.96,9,1.5,0.9,0.2,0.27,0.18,0.27
Robert Woodard II,Sac,21.65,3.5,1.5,1.2,0.2,0,0.23,0.08
Maurice Harkless,Mia,28.02,11.2,1.4,1.2,0.6,0.18,0.36,0.27
Nate Darling,Cha,22.71,3.7,1.3,0.1,0.1,0,0.14,0.14
Kris Dunn,Atl,27.16,11.4,1.3,1.5,0.5,0.5,0.5,0.75
Cristiano Felicio,Chi,28.86,4.6,1.3,1.4,0.5,0.22,0,0.22
Jalen Lecque,Ind,20.92,3,1.3,1.3,0.5,0,0,0
Marques Bolden,Cle,23.08,4.8,1.2,1,0,0.33,0.33,0.33
Mfiondu Kabengele,Lac,23.76,4.1,1.2,0.6,0.2,0.09,0.13,0.26
Rodions Kurucs,Hou,23.28,6.8,1.2,1,0.4,0.55,0.36,0.82
Juwan Morgan,Uta,24.08,5.1,1.2,1,0.3,0.14,0.03,0.14
Norvel Pelle,Nyk,28.28,5.8,1.2,1.2,0.1,0.11,0.67,0
Andre Roberson,Bro,29.45,12.6,1.2,3,0.8,0.6,0.2,0.4
Sindarius Thornwell,Nor,26.5,5.2,1.2,0.4,0.3,0.36,0.07,0.29
Moritz Wagner,Bos,24.06,6.8,1.2,2.1,0.7,0,0.11,1
Udoka Azubuike,Uta,21.66,3.8,1.1,0.9,0,0.07,0.27,0.2
Karim Mane,Orl,21,8.8,1.1,1.4,0.4,0,0.2,0.3
Adam Mokoka,Chi,22.83,4,1.1,0.4,0.4,0.14,0.07,0.36
Jordan Bell,Gol,26.36,14.7,1,5,2,0,2,1
Tyler Bey,Dal,23.26,3.9,1,1,0.2,0,0.06,0.17
Malik Fitts,Lac,20,3.6,1,1,0,0,0,0
Shaquille Harrison,Uta,27.61,3.3,1,0.5,0.5,0.12,0,0.29
Patrick McCaw,Tor,25.56,6.7,1,0.6,0.8,0.4,0,0
Iman Shumpert,Bro,30.89,5.5,1,0.5,0,0.5,0,0.5
Tyrell Terry,Dal,20.63,5.1,1,0.5,0.5,0.45,0,0.18
Kostas Antetokounmpo,Lal,23.49,3.7,0.8,1.3,0.1,0.13,0.27,0.73
Vincent Poirier,Phi,27.58,3.9,0.8,1.3,0.2,0,0.3,0.3
Nick Richards,Cha,23.46,3.5,0.8,0.6,0.1,0,0,0.17
Keljin Blevins,Por,25.48,4.4,0.7,0.6,0.2,0.12,0,0.29
Cameron Reynolds,San,26.27,2.1,0.7,0,0,0,0,0
Ty-Shon Alexander,Pho,22.84,3.2,0.6,0.7,0.4,0,0.07,0.2
Brian Bowen II,Ind,22.62,2.8,0.6,0.6,0,0,0,0
Rodions Kurucs,Bro,23.28,3.2,0.6,0.6,0.4,0,0,0
Ignas Brazdeikis,Nyk,22.35,1.8,0.5,0.5,0.3,0,0,0.25
Tyler Cook,Bro,23.65,4.2,0.5,0.5,0.5,0,0,0.25
Jared Dudley,Lal,35.85,6.7,0.5,1.8,0.4,0.08,0.08,0.17
Chris Silva,Sac,24.66,2.4,0.5,0.5,0,0,0.25,0.25
Jared Harper,Nyk,23.67,2,0.4,0.3,0.1,0,0,0.38
Jaylen Adams,Mil,25.03,2.6,0.3,0.4,0.3,0,0,0
Terrance Ferguson,Phi,23,3.8,0.2,0.1,0.2,0.08,0,0.31
Theo Pinson,Nyk,25.53,2,0.1,0.3,0.1,0,0,0.06
Ignas Brazdeikis,Phi,22.35,7.9,0,2,0,0,0,0
Gary Clark,Den,26.5,2.1,0,0.5,0,0,0,0
Gary Clark,Phi,26.5,6.4,0,1,0.5,0.5,0,0
Ashton Hagans,Min,21.86,2.1,0,0,0,0,0,0.5
Will Magnay,Nor,22.93,3.3,0,0,0,0,0,1
Anzejs Pasecniks,Was,25.41,6.3,0,1,1,0,0,5
Noah Vonleh,Bro,25.73,2.7,0,0.3,0.3,0,0,0.5
Greg Whittington,Den,28.27,3,0,0,0,0,0,0
